                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.74414,                0.44148,                0.83522,                0.97219,                0.95387,                0.98071,                 0.8159,                0.61593,                0.37071,                 0.8303,              0.0011684,              0.0011684,              0.0011684
                    108,                0.74463,                0.45059,                0.83225,                0.98306,                0.94543,                0.98109,                0.81048,                0.63954,                0.37722,                0.83129,              0.0011605,              0.0011605,              0.0011605
                    109,                0.76019,                0.45183,                0.84818,                0.97464,                0.94864,                0.98079,                0.80711,                0.66226,                0.38665,                0.83206,              0.0011526,              0.0011526,              0.0011526
                    110,                0.75653,                0.42733,                0.83799,                0.96881,                 0.9474,                0.98083,                0.82865,                0.60353,                0.35678,                0.82631,              0.0011446,              0.0011446,              0.0011446
                    111,                0.74421,                0.43714,                 0.8417,                0.95848,                0.95827,                0.98285,                0.79642,                0.68096,                0.37062,                0.83176,              0.0011367,              0.0011367,              0.0011367
                    112,                0.76194,                0.43768,                0.84089,                0.96531,                0.95666,                0.98572,                0.82521,                0.65342,                0.37519,                0.82718,              0.0011288,              0.0011288,              0.0011288
                    113,                0.75653,                0.43191,                0.83808,                0.97856,                 0.9525,                0.98401,                0.82526,                0.59192,                0.34391,                0.82809,              0.0011209,              0.0011209,              0.0011209
                    114,                0.72262,                0.41578,                0.83312,                0.98814,                0.93606,                0.98655,                0.83648,                0.59764,                0.34192,                0.82729,               0.001113,               0.001113,               0.001113
                    115,                0.69566,                0.39879,                0.82768,                0.98007,                0.94729,                0.98361,                0.82769,                0.59287,                0.35663,                0.82668,               0.001105,               0.001105,               0.001105
                    116,                0.73834,                0.42487,                0.82676,                0.98329,                0.94382,                0.98386,                0.79781,                0.68982,                 0.3686,                0.83166,              0.0010971,              0.0010971,              0.0010971
                    117,                0.76553,                 0.4326,                0.83027,                0.97218,                0.95352,                0.98657,                0.80821,                0.73305,                0.38314,                0.83385,              0.0010892,              0.0010892,              0.0010892
                    118,                0.76997,                0.43819,                0.83554,                0.96292,                0.95874,                0.98163,                 0.8144,                 0.6486,                0.36221,                0.82912,              0.0010813,              0.0010813,              0.0010813
                    119,                0.75202,                0.41891,                0.83225,                0.97154,                0.94382,                0.98198,                0.80858,                  0.685,                0.38985,                0.83578,              0.0010734,              0.0010734,              0.0010734
                    120,                0.74223,                0.42186,                0.84609,                0.98304,                0.94061,                0.98281,                0.82863,                0.61381,                0.35225,                0.82428,              0.0010654,              0.0010654,              0.0010654
                    121,                0.73625,                0.41794,                0.83233,                0.99139,                 0.9374,                0.98812,                0.84255,                0.58551,                0.34565,                 0.8262,              0.0010575,              0.0010575,              0.0010575
                    122,                0.68304,                0.39409,                0.83691,                0.98775,                  0.939,                 0.9844,                0.81771,                0.63433,                0.36343,                0.82896,              0.0010496,              0.0010496,              0.0010496
                    123,                0.73268,                0.41287,                0.82963,                0.98157,                0.94044,                0.98221,                0.83314,                0.60697,                0.37363,                0.82289,              0.0010417,              0.0010417,              0.0010417
                    124,                0.68166,                0.39678,                 0.8328,                0.97708,                0.94703,                0.98163,                0.83234,                0.59129,                0.34033,                0.82353,              0.0010338,              0.0010338,              0.0010338
                    125,                0.71708,                0.40602,                0.83295,                0.97569,                0.94382,                0.98382,                0.83815,                0.57822,                0.33667,                0.82895,              0.0010258,              0.0010258,              0.0010258
                    126,                0.70482,                0.42091,                0.81872,                0.97835,                0.94277,                0.98021,                0.83353,                0.59998,                0.35472,                 0.8248,              0.0010179,              0.0010179,              0.0010179
                    127,                0.71247,                 0.4119,                0.82973,                0.98101,                0.95185,                0.98294,                0.83667,                0.60274,                 0.3484,                0.82417,                0.00101,                0.00101,                0.00101
                    128,                 0.7086,                0.41511,                0.83003,                 0.9801,                0.94703,                0.98479,                0.83741,                0.59617,                0.34942,                0.82507,              0.0010021,              0.0010021,              0.0010021
                    129,                 0.7104,                0.40583,                0.83734,                0.97685,                0.94824,                0.98907,                0.81334,                0.65371,                 0.3485,                0.82805,             0.00099416,             0.00099416,             0.00099416
                    130,                0.67011,                 0.3824,                0.83671,                0.96616,                0.96249,                0.98829,                0.83864,                0.59495,                0.33542,                0.82762,             0.00098624,             0.00098624,             0.00098624
                    131,                0.71397,                0.40417,                0.82117,                0.97054,                0.95187,                0.98161,                0.82064,                0.58931,                0.34933,                0.82382,             0.00097832,             0.00097832,             0.00097832
                    132,                0.68181,                0.40127,                0.82198,                0.97999,                0.94325,                0.98385,                0.83383,                0.59165,                0.34906,                0.82529,              0.0009704,              0.0009704,              0.0009704
                    133,                0.73287,                0.41874,                0.83028,                0.99115,                0.93258,                0.98149,                0.80818,                0.63292,                0.36351,                0.82828,             0.00096248,             0.00096248,             0.00096248
                    134,                0.70315,                0.40213,                0.82821,                0.98174,                 0.9494,                0.98419,                0.83995,                0.57303,                0.33432,                0.82068,             0.00095456,             0.00095456,             0.00095456
                    135,                0.66353,                0.38994,                0.82372,                 0.9747,                0.94864,                0.98582,                 0.8303,                0.58186,                0.33034,                0.82344,             0.00094664,             0.00094664,             0.00094664
                    136,                0.67725,                0.38909,                0.83085,                0.98336,                0.94382,                0.98845,                0.85594,                0.55129,                0.32611,                0.82094,             0.00093872,             0.00093872,             0.00093872
                    137,                 0.6634,                0.38337,                0.82442,                0.97623,                0.95185,                0.98305,                0.83329,                0.59679,                0.34401,                  0.825,              0.0009308,              0.0009308,              0.0009308
                    138,                 0.6668,                0.38409,                0.82324,                 0.9769,                0.95053,                0.98373,                 0.8285,                0.58672,                0.33661,                0.82404,             0.00092288,             0.00092288,             0.00092288
                    139,                0.64806,                  0.379,                0.81361,                0.98656,                0.94271,                0.98485,                 0.8496,                0.55945,                0.31846,                0.82167,             0.00091496,             0.00091496,             0.00091496
                    140,                 0.6653,                0.37336,                0.82105,                 0.9833,                0.94488,                0.98579,                0.81588,                0.62629,                0.34445,                0.82726,             0.00090704,             0.00090704,             0.00090704
                    141,                0.66514,                0.38138,                0.82257,                0.97852,                0.95067,                0.98762,                0.84633,                0.55396,                0.31499,                0.81881,             0.00089912,             0.00089912,             0.00089912
                    142,                0.67064,                0.38115,                0.83803,                0.97934,                0.95506,                0.98624,                0.83871,                 0.5794,                0.32836,                0.82164,              0.0008912,              0.0008912,              0.0008912
                    143,                0.67304,                0.39608,                0.83028,                0.98093,                0.95666,                0.98974,                0.83863,                0.59524,                0.32994,                0.82321,             0.00088328,             0.00088328,             0.00088328
                    144,                0.69306,                  0.387,                 0.8194,                0.98336,                0.94879,                0.98766,                0.84612,                0.57668,                0.33602,                0.82085,             0.00087536,             0.00087536,             0.00087536
                    145,                0.67486,                0.38069,                0.81836,                 0.9817,                0.94543,                0.98528,                0.84692,                0.59359,                0.32981,                0.82257,             0.00086744,             0.00086744,             0.00086744
                    146,                0.68425,                0.39659,                0.82095,                0.98431,                0.94864,                0.98455,                0.84823,                0.57195,                0.33385,                0.81711,             0.00085952,             0.00085952,             0.00085952
                    147,                0.70396,                0.39008,                0.82511,                0.98171,                0.94791,                0.98656,                0.84974,                0.55972,                0.34151,                 0.8153,              0.0008516,              0.0008516,              0.0008516
                    148,                0.67357,                0.38426,                0.81963,                0.97694,                 0.9519,                0.98731,                0.84626,                0.55575,                0.32506,                0.81678,             0.00084368,             0.00084368,             0.00084368
                    149,                0.65967,                0.38966,                0.82191,                0.98189,                0.95739,                0.98559,                0.84646,                0.54737,                0.33281,                0.81698,             0.00083576,             0.00083576,             0.00083576
                    150,                0.62594,                0.37217,                0.82282,                0.98853,                0.94061,                 0.9867,                0.85686,                0.55209,                   0.32,                 0.8178,             0.00082784,             0.00082784,             0.00082784
                    151,                 0.6581,                0.38132,                0.81855,                0.97679,                0.94583,                0.98706,                0.84628,                0.54239,                0.32942,                0.81458,             0.00081992,             0.00081992,             0.00081992
                    152,                0.68048,                0.38888,                0.82049,                0.98335,                0.94771,                0.98826,                0.84694,                0.54418,                0.32811,                0.81841,               0.000812,               0.000812,               0.000812
